cnt,frame,pos_x,pos_y,id
0,1,-0.835508663185513,-0.413066363976094,A01
1,2,-0.835509901387561,-0.413072587100591,A01
2,3,-0.835511157657023,-0.413078987451728,A01
3,4,-0.835512425847448,-0.413085547062049,A01
4,5,-0.835513699294068,-0.413092246169773,A01
5,6,-0.835514970847202,-0.413099063352117,A01
6,7,-0.835516232913015,-0.41310597568663,A01
7,8,-0.835517477501336,-0.413112958939358,A01
8,9,-0.835518696280121,-0.413119987778185,A01
9,10,-0.835519880636011,-0.413127036009179,A01
10,11,-0.835521021740321,-0.413134076833292,A01
11,12,-0.835522110619657,-0.413141083120348,A01
12,13,-0.835523138230287,-0.413148027696819,A01
13,14,-0.835524095535271,-0.41315488364358,A01
14,15,-0.835524973583308,-0.413161624599528,A01
15,16,-0.835525763588184,-0.41316822506673,A01
16,17,-0.835526457007706,-0.413174660712654,A01
17,18,-0.835527045620947,-0.413180908664936,A01
18,19,-0.835527521602696,-0.413186947794186,A01
19,20,-0.835527877594,-0.413192758980426,A01
20,21,-0.835528106767756,-0.413198325358942,A01
21,22,-0.835528202888409,-0.413203632541598,A01
22,23,-0.835528160364873,-0.413208668810006,A01
23,24,-0.835527974295935,-0.413213425277347,A01
24,25,-0.835527640507536,-0.413217896016141,A01
25,26,-0.83552715558144,-0.413222078149756,A01
26,27,-0.835526518324082,-0.413225967213566,A01
27,28,-0.835525727161666,-0.41322956563938,A01
28,29,-0.835524781355847,-0.41323287879935,A01
29,30,-0.835523681002819,-0.413235914921488,A01
30,31,-0.835522427024334,-0.413238684965187,A01
31,32,-0.835521021151081,-0.413241202458298,A01
32,33,-0.835519465899005,-0.413243483297899,A01
33,34,-0.835517764539192,-0.413245545517522,A01
34,35,-0.835515921062094,-0.413247409024135,A01
35,36,-0.83551394013687,-0.413249095308676,A01
36,37,-0.835511827066705,-0.413250627134391,A01
37,38,-0.835509587740962,-0.413252028207546,A01
38,39,-0.835507228585034,-0.41325332283542,A01
39,40,-0.83550475650873,-0.413254535576649,A01
40,41,-0.835502178853986,-0.413255690889113,A01
