cnt,frame,pos_x,pos_y,id
0,1,-0.0325082848509213,-0.786301253937473,A01
1,2,-0.0325026202217621,-0.786303267905155,A01
2,3,-0.0324970383109306,-0.786305268505176,A01
3,4,-0.0324915628324526,-0.786307308518643,A01
4,5,-0.032486216167625,-0.786309339944859,A01
5,6,-0.0324810195656158,-0.786311362073277,A01
6,7,-0.0324759927120965,-0.786313374737885,A01
7,8,-0.0324711534725853,-0.786315378283055,A01
8,9,-0.0324665174740072,-0.786317317478092,A01
9,10,-0.0324621824822433,-0.78631923837084,A01
10,11,-0.0324580080828336,-0.786321197224356,A01
11,12,-0.0324540731120564,-0.786323148441345,A01
12,13,-0.0324503838448345,-0.786325093540142,A01
13,14,-0.0324469438673319,-0.786327034123657,A01
14,15,-0.0324437540584151,-0.786328971807127,A01
15,16,-0.0324408124254044,-0.786330852110302,A01
16,17,-0.0324381146873938,-0.786332721583972,A01
17,18,-0.0324356540696853,-0.786334635695043,A01
18,19,-0.0324334210735496,-0.786336548296797,A01
19,20,-0.0324314039520793,-0.786338403635354,A01
20,21,-0.0324295892777407,-0.786340246792642,A01
21,22,-0.032428045738088,-0.786342075297947,A01
22,23,-0.0324266887586617,-0.786343886617474,A01
23,24,-0.0324255029229222,-0.786345677411915,A01
24,25,-0.0324244720141301,-0.786347387736074,A01
25,26,-0.0324235798596651,-0.786349058245034,A01
26,27,-0.0324228101645735,-0.786350682121055,A01
27,28,-0.0324221471746657,-0.786352307852755,A01
28,29,-0.0324215754679302,-0.786353882069713,A01
29,30,-0.0324210807450492,-0.786355397673209,A01
30,31,-0.0324205658940043,-0.786356847448374,A01
31,32,-0.032420171087009,-0.786358223064965,A01
32,33,-0.0324198160723616,-0.786359516663994,A01
33,34,-0.0324194085130677,-0.786360720236441,A01
34,35,-0.032419093899293,-0.786361824866114,A01
35,36,-0.0324187979187537,-0.786362878363078,A01
36,37,-0.0324185180324847,-0.786363771140344,A01
37,38,-0.0324181705651142,-0.78636459813022,A01
38,39,-0.032417825128394,-0.786365250046177,A01
39,40,-0.032417483592592,-0.786365766210439,A01
40,41,-0.0324171494080168,-0.786366139594432,A01
41,42,-0.0324169116633109,-0.786366363340455,A01
42,43,-0.0324167091113249,-0.786366431620125,A01
43,44,-0.0324165520975603,-0.786366338971794,A01
44,45,-0.0324163683824804,-0.786366136925558,A01
45,46,-0.0324162381620736,-0.786365776104296,A01
46,47,-0.0324162560237533,-0.786365198813284,A01
47,48,-0.0324163651280004,-0.78636439410339,A01
48,49,-0.0324165792658427,-0.786363462245715,A01
49,50,-0.0324168277613079,-0.786362412775852,A01
50,51,-0.0324171911038479,-0.786361201377509,A01
51,52,-0.0324176788680703,-0.786359832039502,A01
52,53,-0.0324183692932337,-0.786358263197208,A01
53,54,-0.0324191873917937,-0.786356556593927,A01
54,55,-0.0324201400020839,-0.786354719320743,A01
55,56,-0.0324212315483786,-0.786352704092663,A01
56,57,-0.0324224644138813,-0.786350566418659,A01
57,58,-0.0324238383351299,-0.786348316465417,A01
58,59,-0.0324254345404208,-0.786345965427267,A01
59,60,-0.0324270960264122,-0.786343573217342,A01
60,61,-0.032428885005611,-0.786341098753121,A01
61,62,-0.0324307912699983,-0.786338558000877,A01
62,63,-0.0324328021805325,-0.786335967569234,A01
63,64,-0.0324348328965454,-0.786333400828295,A01
64,65,-0.0324369481419628,-0.786330829813082,A01
65,66,-0.0324391270881263,-0.786328273920964,A01
66,67,-0.032441417366746,-0.786325696458703,A01
67,68,-0.0324437138969956,-0.786323218421093,A01
68,69,-0.0324459939508681,-0.786320812225936,A01
69,70,-0.0324482340565487,-0.786318496601065,A01
70,71,-0.0324504099880517,-0.786316233625968,A01
71,72,-0.032452497626206,-0.786314085731096,A01
72,73,-0.0324545568684825,-0.786312067138008,A01
73,74,-0.0324564961850201,-0.786310144453477,A01
74,75,-0.0324582117175717,-0.786308440158437,A01
75,76,-0.0324597522794609,-0.78630691750847,A01
76,77,-0.0324610421694631,-0.786305585449333,A01
77,78,-0.0324621646010418,-0.786304450852454,A01
78,79,-0.0324630566529613,-0.786303519457851,A01
79,80,-0.0324637881529215,-0.786302738868673,A01
80,81,-0.0324641260578714,-0.786302259943763,A01
81,82,-0.0324642970083139,-0.786301924873678,A01
82,83,-0.0324641414364234,-0.786301835286357,A01
83,84,-0.0324637239737521,-0.786301839496041,A01
84,85,-0.0324631129769942,-0.786302033434483,A01
85,86,-0.0324621573423339,-0.786302456221783,A01
86,87,-0.0324610284445739,-0.786303099211575,A01
87,88,-0.0324595801422332,-0.78630385223113,A01
88,89,-0.0324578914420198,-0.786304751199412,A01
89,90,-0.032456043578794,-0.786305793551292,A01
90,91,-0.0324539677107087,-0.786306920496506,A01
91,92,-0.0324516809917124,-0.786308164495186,A01
92,93,-0.0324492018301813,-0.786309510927286,A01
93,94,-0.0324465499931187,-0.786311001004915,A01
94,95,-0.0324437458355046,-0.786312574723693,A01
95,96,-0.0324408105351102,-0.786314219092558,A01
96,97,-0.0324377656767612,-0.786315921547446,A01
97,98,-0.0324346328057155,-0.786317614035543,A01
98,99,-0.0324314338787233,-0.786319386352372,A01
99,100,-0.0324281200701777,-0.786321227902651,A01
100,101,-0.0324247938084855,-0.786323073764238,A01
101,102,-0.0324214731052177,-0.7863249160173,A01
102,103,-0.0324182452784333,-0.786326747259502,A01
103,104,-0.0324150446178462,-0.786328561394804,A01
104,105,-0.0324118876657007,-0.786330250123916,A01
105,106,-0.0324087902203822,-0.786331964555122,A01
106,107,-0.0324058493783802,-0.786333540359539,A01
107,108,-0.0324030655840897,-0.786335063569453,A01
108,109,-0.0324003503587201,-0.786336527595874,A01
109,110,-0.0323977619725469,-0.786337972543857,A01
110,111,-0.0323952402811176,-0.78633939396994,A01
111,112,-0.0323928614987273,-0.7863406952472,A01
112,113,-0.0323907009871464,-0.786341928097354,A01
113,114,-0.0323886945929334,-0.786343089069292,A01
114,115,-0.0323867630454137,-0.786344175100875,A01
115,116,-0.0323849779813004,-0.786345238945154,A01
116,117,-0.0323833395823861,-0.786346279383827,A01
117,118,-0.0323819306686511,-0.786347184641852,A01
118,119,-0.032380597914393,-0.786348010409416,A01
119,120,-0.0323794092151979,-0.786348765069702,A01
120,121,-0.032378361901612,-0.786349494989805,A01
121,122,-0.0323774524985845,-0.786350145511093,A01
122,123,-0.0323766072853634,-0.78635071838416,A01
123,124,-0.0323759043408636,-0.786351215010978,A01
124,125,-0.0323753376405386,-0.786351581211912,A01
125,126,-0.0323749018417472,-0.786351910887606,A01
126,127,-0.0323745913313468,-0.78635214987041,A01
127,128,-0.032374401100181,-0.786352355911072,A01
128,129,-0.0323743258720419,-0.786352438762612,A01
129,130,-0.0323743608730225,-0.786352400358702,A01
130,131,-0.0323745856894866,-0.786352287849539,A01
131,132,-0.032374998202519,-0.786352102130821,A01
132,133,-0.0323754446097722,-0.786351844819357,A01
133,134,-0.0323760072135379,-0.786351516983727,A01
134,135,-0.0323768104498795,-0.786351063764183,A01
135,136,-0.0323775162736303,-0.786350645332598,A01
136,137,-0.0323784054551651,-0.786350124106593,A01
137,138,-0.0323794067079577,-0.786349605693608,A01
138,139,-0.0323805880262753,-0.786348935776826,A01
139,140,-0.0323818662900055,-0.786348266324487,A01
140,141,-0.0323832413330668,-0.786347545389984,A01
141,142,-0.0323847127364812,-0.786346777326689,A01
142,143,-0.0323862654145028,-0.786345910729567,A01
143,144,-0.0323879350887418,-0.786344995372826,A01
144,145,-0.03238972012245,-0.786344034354917,A01
145,146,-0.0323916889899355,-0.786342983665184,A01
146,147,-0.0323937587145192,-0.786341900914594,A01
147,148,-0.0323958044576519,-0.786340890432149,A01
148,149,-0.0323980100744509,-0.786339843434253,A01
149,150,-0.0324002721799847,-0.786338763617251,A01
150,151,-0.03240262183981,-0.786337616184992,A01
151,152,-0.032405128006707,-0.786336457744635,A01
152,153,-0.0324077215305138,-0.786335232878243,A01
153,154,-0.0324104041146402,-0.786333986590251,A01
154,155,-0.0324131780108027,-0.786332772401049,A01
155,156,-0.0324160457181643,-0.786331541798481,A01
156,157,-0.0324190106707545,-0.786330338996633,A01
157,158,-0.0324220766028286,-0.786329106108048,A01
158,159,-0.0324252480511373,-0.786327840352221,A01
159,160,-0.0324285158834861,-0.786326482066897,A01
160,161,-0.0324319367114898,-0.786325071703024,A01
161,162,-0.0324354798209889,-0.786323658363638,A01
162,163,-0.0324391516931437,-0.786322189020514,A01
163,164,-0.0324429589813133,-0.786320656857602,A01
164,165,-0.0324469081826852,-0.786319064023527,A01
165,166,-0.0324510053838197,-0.786317412702859,A01
166,167,-0.0324553674206967,-0.786315499691956,A01
167,168,-0.0324599095481033,-0.786313607908933,A01
168,169,-0.0324645822069175,-0.786311556871867,A01
169,170,-0.0324694368635037,-0.786309393603758,A01
170,171,-0.0324744767895941,-0.786307109979516,A01
171,172,-0.0324797039492589,-0.786304745496708,A01
172,173,-0.0324851183569436,-0.786302239345056,A01
173,174,-0.0324906483961138,-0.786299587980123,A01
174,175,-0.032496316820337,-0.786296844702729,A01
175,176,-0.0325022315003736,-0.786293915879764,A01
176,177,-0.0325083002231998,-0.786290858151319,A01
177,178,-0.0325144752184669,-0.786287673751171,A01
178,179,-0.0325208502530548,-0.78628431020064,A01
179,180,-0.0325273514377767,-0.78628081850979,A01
180,181,-0.0325338940397381,-0.786277251232701,A01
181,182,-0.0325406136393117,-0.786273513520784,A01
182,183,-0.0325473395231105,-0.786269716761274,A01
183,184,-0.0325542053678664,-0.78626568430031,A01
184,185,-0.0325611099508147,-0.786261680961018,A01
185,186,-0.0325680345704975,-0.786257592545374,A01
186,187,-0.0325749609654783,-0.786253431359274,A01
