cnt,frame,pos_x,pos_y,id
0,1,-0.747671121651495,-0.522496279801584,A01
1,2,-0.747669402734563,-0.522481480631509,A01
2,3,-0.747667573139311,-0.52246617354161,A01
3,4,-0.747665629251187,-0.522450389252929,A01
4,5,-0.747663567682148,-0.522434162379977,A01
5,6,-0.747661385320364,-0.522417531235539,A01
6,7,-0.747659079384584,-0.522400537586314,A01
7,8,-0.747656647483146,-0.522383226361677,A01
8,9,-0.747654087677514,-0.522365645318722,A01
9,10,-0.747651398550085,-0.522347844667546,A01
10,11,-0.747648579275904,-0.522329876661497,A01
11,12,-0.747645629697731,-0.522311795157773,A01
12,13,-0.747642550403806,-0.522293655154338,A01
13,14,-0.747639342807444,-0.522275512309574,A01
14,15,-0.747636009227483,-0.522257422451459,A01
15,16,-0.747632552968427,-0.522239441083239,A01
16,17,-0.747628978398991,-0.522221622892674,A01
17,18,-0.747625291027636,-0.522204021271859,A01
18,19,-0.74762149757357,-0.522186687854451,A01
19,20,-0.747617606031592,-0.522169672076776,A01
20,21,-0.747613625729142,-0.522153020768898,A01
21,22,-0.747609567373847,-0.522136777781095,A01
22,23,-0.747605443089922,-0.522120983650615,A01
23,24,-0.747601266441791,-0.522105675312761,A01
24,25,-0.747597052443432,-0.522090885859594,A01
25,26,-0.747592817552052,-0.52207664434866,A01
26,27,-0.747588576014719,-0.522062977865252,A01
27,28,-0.747584346379605,-0.522049907460368,A01
28,29,-0.747580148394838,-0.522037449959964,A01
29,30,-0.747576002913651,-0.52202561798988,A01
30,31,-0.747571931778958,-0.522014420050437,A01
31,32,-0.747567957687586,-0.522003860638029,A01
32,33,-0.747564104034786,-0.521993940410269,A01
33,34,-0.747560394740045,-0.521984656390729,A01
34,35,-0.747556854055613,-0.521976002208723,A01
35,36,-0.747553506359556,-0.521967968369245,A01
36,37,-0.747550375935552,-0.521960542547827,A01
37,38,-0.747547486741966,-0.521953709904936,A01
38,39,-0.747544862173097,-0.521947453414407,A01
39,40,-0.747542524815749,-0.521941754200482,A01
40,41,-0.747540496204525,-0.521936591878104,A01
41,42,-0.747538796579396,-0.521931944891371,A01
42,43,-0.747537444649232,-0.521927790845306,A01
43,44,-0.747536457364981,-0.521924106826526,A01
44,45,-0.747535849706198,-0.521920869708751,A01
45,46,-0.747535634484464,-0.52191805643963,A01
46,47,-0.747535822167107,-0.521915644305812,A01
47,48,-0.74753642072433,-0.521913611173773,A01
48,49,-0.747537435502583,-0.521911935704386,A01
49,50,-0.747538869126581,-0.521910597539826,A01
50,51,-0.747540721431981,-0.521909577461866,A01
51,52,-0.747542986417034,-0.521908855380354,A01
52,53,-0.747545658211005,-0.521908421786924,A01
53,54,-0.747548727427227,-0.521908259787122,A01
54,55,-0.747552181850361,-0.521908354087835,A01
55,56,-0.747556006517407,-0.521908690978237,A01
56,57,-0.747560183829196,-0.521909258288167,A01
57,58,-0.747564693690558,-0.521910045325606,A01
58,59,-0.747569513676955,-0.52191104279513,A01
59,60,-0.74757461922488,-0.521912242699429,A01
60,61,-0.747579983843016,-0.521913638226133,A01
61,62,-0.747585579340794,-0.521915223622284,A01
62,63,-0.747591376070795,-0.521916994058897,A01
63,64,-0.747597343181283,-0.521918945488076,A01
64,65,-0.747603448875066,-0.521921074495177,A01
